date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,hour,day_of_week,month,week_status,NSM
2016-01-11 17:00:00,60,30,19.89,47.5967,19.2,44.79,19.79,44.73,19.0,45.5667,17.1667,55.2,7.0267,84.2567,17.2,41.6267,18.2,48.9,17.0333,45.53,6.6,733.5,92.0,7.0,63.0,5.3,17,0,1,Weekday,61200
2016-01-11 17:10:00,60,30,19.89,46.6933,19.2,44.7225,19.79,44.79,19.0,45.9925,17.1667,55.2,6.8333,84.0633,17.2,41.56,18.2,48.8633,17.0667,45.56,6.4833,733.6,92.0,6.6667,59.1667,5.2,17,0,1,Weekday,61800
2016-01-11 17:20:00,50,30,19.89,46.3,19.2,44.6267,19.79,44.9333,18.9267,45.89,17.1667,55.09,6.56,83.1567,17.2,41.4333,18.2,48.73,17.0,45.5,6.3667,733.7,92.0,6.3333,55.3333,5.1,17,0,1,Weekday,62400
2016-01-11 17:30:00,50,40,19.89,46.0667,19.2,44.59,19.79,45.0,18.89,45.7233,17.1667,55.09,6.4333,83.4233,17.1333,41.29,18.1,48.59,17.0,45.4,6.25,733.8,92.0,6.0,51.5,5.0,17,0,1,Weekday,63000
2016-01-11 17:40:00,60,40,19.89,46.3333,19.2,44.53,19.79,45.0,18.89,45.53,17.2,55.09,6.3667,84.8933,17.2,41.23,18.1,48.59,17.0,45.4,6.1333,733.9,92.0,5.6667,47.6667,4.9,17,0,1,Weekday,63600
2016-01-11 17:50:00,50,40,19.89,46.0267,19.2,44.5,19.79,44.9333,18.89,45.73,17.1333,55.03,6.3,85.7667,17.1333,41.26,18.1,48.59,17.0,45.29,6.0167,734.0,92.0,5.3333,43.8333,4.8,17,0,1,Weekday,64200
2016-01-11 18:00:00,60,50,19.89,45.7667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.9667,6.2633,86.09,17.1333,41.2,18.1,48.59,17.0,45.29,5.9,734.1,92.0,5.0,40.0,4.7,18,0,1,Weekday,64800
2016-01-11 18:10:00,60,50,19.8567,45.56,19.2,44.5,19.73,44.9,18.89,45.8633,17.1,54.9,6.19,86.4233,17.1,41.2,18.1,48.59,17.0,45.29,5.9167,734.1667,91.8333,5.1667,40.0,4.6833,18,0,1,Weekday,65400
2016-01-11 18:20:00,60,40,19.79,45.5975,19.2,44.4333,19.73,44.79,18.89,45.79,17.1667,55.0,6.1233,87.2267,17.1667,41.4,18.1,48.59,17.0,45.29,5.9333,734.2333,91.6667,5.3333,40.0,4.6667,18,0,1,Weekday,66000
2016-01-11 18:30:00,70,40,19.8567,46.09,19.23,44.4,19.79,44.8633,18.89,46.0967,17.1,55.0,6.19,87.6267,17.2,41.5,18.1,48.59,17.0,45.29,5.95,734.3,91.5,5.5,40.0,4.65,18,0,1,Weekday,66600
2016-01-11 18:40:00,175,70,19.9267,45.8633,19.3567,44.4,19.79,44.9,18.89,46.43,17.1,55.0,6.19,87.8667,17.2475,42.7175,18.1,48.59,17.0,45.29,5.9667,734.3667,91.3333,5.6667,40.0,4.6333,18,0,1,Weekday,67200
2016-01-11 18:50:00,175,60,20.0667,46.3967,19.4267,44.4,19.79,44.8267,19.0,46.43,17.1,55.0,6.1233,87.9933,17.53,44.2633,18.0667,48.6333,16.89,45.29,5.9833,734.4333,91.1667,5.8333,40.0,4.6167,18,0,1,Weekday,67800
2016-01-11 19:00:00,175,50,20.1333,48.0,19.5667,44.4,19.89,44.9,19.0,46.3633,17.1,55.09,6.1233,88.59,17.8233,45.4933,18.0667,48.56,16.9633,45.29,6.0,734.5,91.0,6.0,40.0,4.6,19,0,1,Weekday,68400
2016-01-11 19:10:00,175,40,20.26,52.7267,19.73,45.1,19.89,45.4933,19.0,47.2233,17.1,55.1633,6.0675,88.215,17.9633,46.16,18.0333,48.6667,16.89,45.3267,6.0,734.6167,90.5,6.0,40.0,4.5167,19,0,1,Weekday,69000
