model,MAE,RMSE,MAPE,R2,window
Stacked (LR + CNN-LSTM-on-residuals),13.5223,21.0804,17.7902,0.7001,
Linear Regression,13.596,21.2454,17.7672,0.6976,
"ARIMA(2,1,2) one-step-ahead",13.3717,21.6352,17.3132,0.6864,
Linear Regression (log target),13.702,22.6933,17.5608,0.655,
"XGBoost (flat, 32 features)",16.4492,22.7804,22.2317,0.6524,
CNN-LSTM (log target),16.1775,25.3026,19.6337,0.568,
CNN-LSTM (MSE),16.4295,25.4112,20.3116,0.5642,
CNN-LSTM (extended patience),17.8431,25.7924,23.4158,0.5511,
CNN-LSTM (batch_size=128),17.6931,26.0851,22.4785,0.5408,
CNN-LSTM (engineered v2: interactions + trimmed + composites),18.6042,26.2507,24.8753,0.535,
CNN-LSTM (dropout=0.1),17.841,26.35,23.1255,0.5314,
cnn_lstm,19.8555,26.8732,27.1462,0.5127,72.0
CNN-LSTM (Huber),16.9411,27.0698,19.6744,0.5055,
CNN-LSTM (+ lagged exogenous sensors),21.0581,27.4901,29.7005,0.49,
CNN-LSTM (tuned hyperparameters),20.6963,27.6099,28.3514,0.4856,
Random Forest,20.7375,27.7119,27.2843,0.4856,
lstm,20.4271,28.1096,27.9723,0.4668,72.0
tcn,20.7477,28.1787,28.4109,0.4628,24.0
gru,21.6285,28.8777,29.9177,0.4372,72.0
cnn_lstm_attention,21.9499,29.6336,29.9925,0.406,24.0
